	faith_pd
ERR1458715	12.28628184798889
ERR1458739	11.3085556541824
ERR1458746	12.23127090215187
ERR1458747	11.38108090901872
ERR1458750	16.78462769984094
ERR1458752	14.22141985592713
ERR1458765	16.23009458702855
ERR1458793	21.35050210515994
ERR1458809	20.19907723843658
ERR1458829	20.71574087120593
ERR1458831	6.873964676247324
ERR1458855	20.21287565499594
ERR1458857	12.28389672353191
ERR1458868	24.03810080167499
ERR1458871	9.954722420430947
ERR1458881	8.22677358104208
ERR1458883	25.63986570600643
ERR1458893	15.89090735401998
ERR1458899	27.72553499839611
ERR1458906	14.15463695302073
ERR1458915	14.1755437227062
ERR1458929	7.847914686094231
ERR1458931	16.63843535376052
ERR1458936	19.53229108724739
ERR1458937	11.87413338471083
ERR1458942	16.13366122888619
ERR1458974	12.98731915921237
ERR1458980	24.39605560765021
ERR1458992	22.20246717505466
ERR1458999	19.70108000316092
ERR1459008	25.84374545599854
ERR1459017	15.92537390873201
ERR1459028	21.16656088752125
ERR1459033	16.10898120169311
ERR1459034	17.18165576696058
ERR1459035	22.8111642196262
ERR1459037	19.15176412881577
ERR1459045	16.47077031505775
ERR1459063	15.69151264609585
ERR1459072	13.06678558230928
ERR1459099	16.31496571172434
ERR1459109	18.85433635479461
ERR1459110	24.77275105038741
ERR1459123	48.05581719968415
ERR1459124	7.791850736614077
ERR1459126	12.72863043667822
ERR1459131	11.72739102257947
ERR1459142	15.61698310812543
ERR1459146	12.88912829208557
ERR1459147	4.970969528753374
ERR1459152	14.99647857239113
ERR1459161	18.29105045400684
ERR1459162	9.504532193755
ERR1459172	14.6107801629851
ERR1459203	11.4152212800563
ERR1459204	18.12616550208352
ERR2056783	19.21300963131027
ERR2056799	21.80622504682198
