	simpson
ERR1074192	0.0
ERR1074194	0.4970414201183432
ERR1074452	0.0
ERR1074528	0.5397923875432526
ERR1080200	0.77718367479226
ERR1249707	0.49382716049382713
ERR1249848	0.0
ERR1249937	0.782608695652174
ERR1315873	0.7301579260647661
ERR1315992	0.0
ERR1316014	0.6484375
ERR1458701	0.8582766439909296
ERR1458715	0.6811415063849822
ERR1458739	0.7758035316103549
ERR1458746	0.9507391630343565
ERR1458747	0.9077384968636425
ERR1458750	0.8022485120947183
ERR1458752	0.9636840731589122
ERR1458765	0.9011510457726966
ERR1458793	0.9790090656577031
ERR1458809	0.9736259274526345
ERR1458824	0.944175335151329
ERR1458829	0.9595635864136466
ERR1458831	0.572118429553601
ERR1458855	0.9544989981659867
ERR1458857	0.9161042497968832
ERR1458868	0.9497582930551317
ERR1458871	0.8960949662072023
ERR1458881	0.7480655714223596
ERR1458883	0.9668296247184135
ERR1458893	0.9478334418927332
ERR1458899	0.9771480965954121
ERR1458906	0.9144401381235306
ERR1458915	0.8089989822446249
ERR1458929	0.6770606603032863
ERR1458931	0.8841270330104788
ERR1458936	0.970628864591229
ERR1458937	0.9215171088076155
ERR1458942	0.9183858171547188
ERR1458957	0.9029584665033461
ERR1458974	0.8115963343374311
ERR1458980	0.8568378656352599
ERR1458990	0.0
ERR1458992	0.9590902642419479
ERR1458999	0.9735134934229037
ERR1459008	0.9840016635028715
ERR1459017	0.8992751800343936
ERR1459028	0.7568312968930699
ERR1459033	0.9409942349761614
ERR1459034	0.9717386915492338
ERR1459035	0.9730026953437032
ERR1459037	0.9787527529163553
ERR1459041	0.0
ERR1459045	0.9571929616637478
ERR1459063	0.9592948216420262
ERR1459072	0.9562206487635017
ERR1459099	0.9741806292719595
ERR1459109	0.8703606372890158
ERR1459110	0.16283740203062957
ERR1459123	0.9583632860872233
ERR1459124	0.5720955256746334
ERR1459126	0.956817669659371
ERR1459131	0.944999818889076
ERR1459142	0.927312337801482
ERR1459146	0.8806767390272704
ERR1459147	0.34787268969633334
ERR1459152	0.9598673250332586
ERR1459161	0.8959843208206935
ERR1459162	0.802796640310077
ERR1459172	0.8820070753116591
ERR1459203	0.834318010023058
ERR1459204	0.9647743278688408
ERR2056783	0.9510147456344469
ERR2056799	0.9682044998545088
