	shannon_entropy
ERR1458715	2.9625548257272762
ERR1458739	3.667437838428386
ERR1458746	5.323751140469542
ERR1458747	4.643997295958794
ERR1458750	4.44837858055991
ERR1458752	5.831415563428162
ERR1458765	5.133434634012281
ERR1458793	6.472851604511416
ERR1458809	6.209469169606947
ERR1458829	6.049548527517436
ERR1458831	2.439205011953239
ERR1458855	5.416164598582013
ERR1458857	4.190480399698919
ERR1458868	5.793315952817642
ERR1458871	4.484671119637034
ERR1458881	3.133553200967838
ERR1458883	5.82916073802594
ERR1458893	5.532525394932312
ERR1458899	6.332301875741654
ERR1458906	4.967963757269855
ERR1458915	4.103567953590184
ERR1458929	2.333495886929119
ERR1458931	4.77226744989824
ERR1458936	6.370970315655331
ERR1458937	4.765846927630497
ERR1458942	4.7275057359497135
ERR1458974	4.148556813062955
ERR1458980	4.375797640352451
ERR1458992	5.999343431657664
ERR1458999	6.1139865321859865
ERR1459008	6.89468015588236
ERR1459017	4.5179735833758246
ERR1459028	3.8369084583460733
ERR1459033	5.3761208313706055
ERR1459034	6.096111548152097
ERR1459035	6.345057536038923
ERR1459037	6.254620190636943
ERR1459045	5.736808216262019
ERR1459063	5.848766063516197
ERR1459072	5.589543891926556
ERR1459099	6.122585747499373
ERR1459109	4.039431543548287
ERR1459110	0.8009623594044595
ERR1459123	5.5087015557481775
ERR1459124	2.435076389082317
ERR1459126	5.409514799307431
ERR1459131	5.067115547183725
ERR1459142	5.153381534724198
ERR1459146	4.815884279267981
ERR1459147	1.5169553086110337
ERR1459152	5.354521214234185
ERR1459161	4.832785509133202
ERR1459162	3.628406869062777
ERR1459172	4.311954431561144
ERR1459203	4.008663640765427
ERR1459204	5.812059102817294
ERR2056783	5.568131339123594
ERR2056799	6.181818151035338
