	faith_pd
ERR1458715	10.06835918849688
ERR1458739	11.3085556541824
ERR1458746	12.01929333643719
ERR1458747	11.34858920126479
ERR1458750	14.28385554436462
ERR1458752	14.22141985592713
ERR1458765	16.23372262122179
ERR1458793	22.58104541302787
ERR1458809	19.80063779374119
ERR1458829	19.33473875248702
ERR1458831	7.028224089460101
ERR1458855	19.50310099001921
ERR1458857	17.50068430059598
ERR1458868	23.18930326981281
ERR1458871	9.988866549435391
ERR1458881	8.226773581042076
ERR1458883	28.00732803050885
ERR1458893	15.54846249521978
ERR1458899	29.60562496649564
ERR1458906	13.70862455329013
ERR1458915	14.06166985846856
ERR1458929	4.599467178474358
ERR1458931	16.63843535376051
ERR1458936	19.60021520255003
ERR1458937	11.0578965744194
ERR1458942	16.21642913838946
ERR1458974	13.14565533532893
ERR1458980	26.58004000618221
ERR1458992	22.11685130051021
ERR1458999	20.43064852830809
ERR1459008	26.08295359934533
ERR1459017	16.46144805794334
ERR1459028	23.86258684563685
ERR1459033	17.26970786537147
ERR1459034	16.64262089186748
ERR1459035	22.26944643779943
ERR1459037	19.73869291846373
ERR1459045	16.39218652224426
ERR1459063	15.48673662115414
ERR1459072	13.06678558230928
ERR1459099	16.44797182934422
ERR1459109	18.85433635479461
ERR1459110	26.3310896713319
ERR1459123	43.44989830381891
ERR1459124	7.791850736614077
ERR1459126	12.72863043667822
ERR1459131	11.97689572608858
ERR1459142	18.30231616387103
ERR1459146	12.88912829208557
ERR1459147	4.970969528753372
ERR1459152	15.62447579857177
ERR1459161	18.16177170787143
ERR1459162	9.532907420858129
ERR1459172	14.6107801629851
ERR1459203	11.41505703891656
ERR1459204	21.02167032709292
ERR2056783	18.90149744111492
ERR2056799	22.35184291484022
